x,y,Households,Population Density (Per Sq. Mile),Median Household Income (In 2010 Inflation Adjusted Dollars),Area (Land),Average Household Size,Climate Zone,Ave Max Temp,PreMax,CES 2.0 Score,% Total Population: Under 18 Years,% Total Population: 18 to 64 Years,% Total Population: 65 and Over,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Hispanic or Latino,%Unemployed: 16 years and over,% Occupied Housing Units: Renter Occupied,% Low Birth Weight,%Building age: 2000 or later,%Building age: 1960-1999,%Building age: 1959 or earlier,%Vacant Housing Units,% Ozone,% PM2.5,% Drinking Water,% Traffic,% Groundwater Threats,% Imp. Water Bodies,% Solid Waste
-118.3010025,34.2636986,395,12726.43,99095,0.102856847,3.31,9,66.41247559,1.094227195,19.87614813,15.66,76.63,7.72,75.48,0,8.1,54.01,5.82,66.37478109,7.34,26.83,65.82,6.835443038,75.49944063,61.40483384,69.09227307,9.504802295,0,0,0
-118.3479996,34.2776985,702,1323.919,75400,1.591486524,2.88,16,66.23127778,1.094697952,30.67808896,19.7,67.25,13.05,52.25,2.23,39.82,53.28,25.07,66.04953715,0,54.56,45.45,6.125356125,76.80997283,59.27744209,61.05276319,81.96332793,0,0,69.11548634
-118.3330002,34.2686996,723,1932.265,88750,1.073351691,2.87,16,66.28869563,1.081346869,30.67808896,13.74,70.92,15.33,54.05,2.94,31.24,50.69,17.15,66.04953715,5.12,58.64,36.24,6.500691563,76.80997283,59.27744209,61.05276319,81.96332793,0,0,69.11548634
-118.4110031,34.3028984,881,3433.708,79671,1.037653842,3.88,9,65.99279746,1.186573505,28.90915263,29.39,57.26,13.36,16.14,1.4,66.07,34.62,9.76,46.91018264,32.01,35.99,32.01,0,83.69825795,52.64350453,60.25256314,78.54559062,39.42884191,0,24.03761387
-118.4530029,34.2677002,294,4591.679,60208,0.202975844,3.14,9,65.80350964,1.277385473,32.78139618,19.21,65.99,14.81,14.38,5.58,76.07,24.56,27.89,84.37578184,10.2,15.65,74.15,1.360544218,80.46987374,56.26888218,69.09227307,94.5366097,0,0,0
-118.4290009,34.3046989,1212,14698.48,38816,0.27791982,3.32,9,65.93366909,1.201956749,40.14158159,30.77,60.64,8.59,13.27,6.83,73.46,31.3,57.43,89.6922692,7.34,60.06,32.59,9.240924092,84.06584625,52.58056395,69.09227307,79.91767494,0,0,10.40258595
-118.5070038,34.2849998,331,5260.367,62386,0.183827493,2.87,9,65.72704667,1.279778123,27.66806902,14.89,66.08,19.03,57.29,2.9,25.44,39.4,13.29,70.35276457,0,72.51,27.49,0,83.85807895,51.97633434,69.09227307,79.40626169,0,15.11524823,0
-118.1809998,34.0834007,782,23441.83,43712,0.130237283,3.9,9,67.14972458,1.184015989,29.83162352,30.3,60.83,8.88,3.77,5.54,75.96,21.95,55.5,2.239179385,0,59.2,40.79,6.010230179,53.25235736,83.27039275,27.71942986,56.30535113,21.48942884,0,0
-118.4520035,34.2705002,341,8283.013,51583,0.1406493,3.4,9,65.8074398,1.267408967,32.78139618,25.92,60.09,13.99,13.3,1.46,70.21,32.12,21.99,84.37578184,0,46.92,53.08,2.052785924,80.46987374,56.26888218,69.09227307,94.5366097,0,0,0
-118.4219971,34.2977982,303,13131.85,55583,0.112474652,4.87,9,65.94957951,1.188071609,40.14158159,26.47,72.17,1.35,1.08,0.68,98.24,19.05,59.74,89.6922692,2.97,30.36,66.66,2.640264026,84.06584625,52.58056395,69.09227307,79.91767494,0,0,10.40258595
-118.2480011,33.7921982,276,23072.98,45781,0.054696006,4.57,6,66.98780823,1.157008648,44.04279929,34.71,62.6,2.69,6.66,5.07,85.74,20.25,57.97,42.39429572,2.17,28.26,69.56,3.623188406,0,66.20090634,22.23055764,23.56242984,76.55411802,0,91.21363503
-118.3040009,33.803299,967,10216.51,90664,0.294523372,3.08,6,66.88657379,1.176821589,25.50680194,18.91,68.56,12.53,27.72,4.25,33.37,40.08,17.48,56.70502877,19.03,54.91,26.06,0,0,67.33383686,31.93298325,50.99164276,0.142000631,41.97695035,39.28886277
-118.2689972,34.1030998,381,5892.106,79236,0.126440354,1.96,9,67.02791443,1.183156967,28.72609922,11.95,55.84,32.21,67.65,3.09,8.72,47.81,17.85,35.81436077,0,5.25,94.75,19.94750656,51.28655905,77.37915408,74.56864216,16.9764251,27.62701168,55.4964539,14.1933588
-118.2979965,34.0681,582,107841.4,42614,0.01837885,3.41,9,67.08632088,1.188937426,34.58408615,28.71,69.13,2.17,6.21,4.64,71.14,20.5,98.8,6.742556918,0,42.44,57.56,19.93127148,40.22694582,80.19889225,74.56864216,49.41998254,36.79394131,0,0
-118.3720016,34.0782013,498,6615.998,101757,0.177146381,2.34,9,66.62988281,1.219395399,21.78581053,20.05,62.11,17.83,80.8,1.11,5.12,48.44,30.52,30.7105329,0.8,9.64,89.56,4.618473896,37.27025731,75.31470292,74.56864216,59.5983535,63.12716945,0,37.87834264
-118.2649994,34.1002998,272,4869.895,21955,0.158319652,1.97,9,67.04109287,1.185857773,28.72609922,9.6,62.77,27.63,62.65,5.97,15.95,27.84,53.68,35.81436077,0,20.95,79.05,19.11764706,51.28655905,77.37915408,74.56864216,16.9764251,27.62701168,55.4964539,14.1933588
-118.3259964,34.0644989,384,6329.417,90690,0.14961884,2.47,9,66.96556759,1.195375681,23.58899874,15.84,67.27,16.9,43.93,1.9,1.37,52.05,19.27,70.79059294,15.1,26.04,58.85,0,37.31820361,78.60020141,74.56864216,56.55482101,57.93625749,0,0
-118.2939987,34.0777016,780,57135.54,37898,0.042670468,3.13,9,67.07515717,1.187527776,47.57482012,29.98,68.01,2.01,2.26,0.98,72.19,19.37,100,40.36777583,2.69,59.36,37.94,4.102564103,43.31149113,79.16666667,74.56864216,82.36247973,35.7052698,0,37.87834264
-118.3899994,34.0948982,447,3613.331,149620,0.327121979,2.64,9,66.46858909,1.20712924,12.88639798,17.94,63.96,18.1,79.95,2.28,2.71,43.34,23.27,22.01651238,1.79,23.05,75.17,25.950783,43.50327633,72.20543807,64.00350088,28.4769864,35.97349322,0,0
-118.288002,34.0814018,842,17775.69,24665,0.125227221,2.64,9,67.07082367,1.1873523,55.0721694,10.47,80.82,8.72,5.48,2.74,63.25,24.95,91.33,95.12134101,4.15,50.01,45.84,10.09501188,44.74988013,79.1918429,74.56864216,95.3473868,75.76522562,0,37.87834264
-118.3769989,34.162899,1158,39708.51,44548,0.052155068,1.79,9,66.32445717,0.973789215,25.86384225,11.83,80.64,7.53,31.24,6.57,35.49,21.63,93.78,12.40930698,14.25,68.66,17.1,6.908462867,59.83698258,68.52970796,69.09227307,48.67157291,79.47301988,63.56382979,42.9033206
