x,y,Households,Population Density (Per Sq. Mile),Median Household Income (In 2010 Inflation Adjusted Dollars),Area (Land),Average Household Size,Climate Zone,Ave Max Temp,PreMax,CES 2.0 Score,% Total Population: Under 18 Years,% Total Population: 18 to 64 Years,% Total Population: 65 and Over,% Total Population: Not Hispanic or Latino: White Alone,% Total Population: Not Hispanic or Latino: Black or African American Alone,% Total Population: Hispanic or Latino,%Unemployed: 16 years and over,% Occupied Housing Units: Renter Occupied,% Low Birth Weight,%Building age: 2000 or later,%Building age: 1960-1999,%Building age: 1959 or earlier,%Vacant Housing Units,% Ozone,% PM2.5,% Drinking Water,% Traffic,% Groundwater Threats,% Imp. Water Bodies,% Solid Waste
-118.2890015,33.9201012,615,14094.6,37454,0.132816832,3.04,8,68.05933762,68.05933762,39.33317991,29.91,64.26,5.82,1.71,57.37,36.54,52.83119658,58.05,36.7025269,0,65.36585366,34.63414634,2.113821138,2.748921208,78.97784491,63.97849462,87.42671822,54.08646261,0,82.19218337
-118.3830032,33.9561996,1076,17395.04,65379,0.146765931,2.37,6,67.31940206,67.31940206,26.98165816,18.41,76.42,5.17,18.8,35.96,25.66,36.31022327,82.9,72.16662497,2.323420074,56.3197026,41.35687732,2.602230483,0,79.50654582,42.54813703,50.18086566,91.19596087,0,23.18542463
-118.3740005,34.1666985,863,9521.453,22429,0.144095648,1.59,9,67.35466156,67.35466156,39.86746396,6.92,73.54,19.53,48.47,6.63,30.83,35.56851312,100,86.3522642,37.89107764,43.80069525,18.30822711,7.995365006,61.24340738,68.30312185,69.09227307,45.6529874,93.48374882,0,69.11548634
-118.3040009,33.8111992,1098,9465.13,94070,0.32625016,2.81,6,67.63102682,67.63102682,20.24289266,17.36,66.03,16.61,27.27,4.31,20.3,40.41450777,18.31,22.80460345,0,97.72313297,2.276867031,0,0,68.06394763,22.23055764,68.95347387,0,0,39.28886277
-118.2850037,33.9201012,566,12909.19,30417,0.141836951,3.23,8,68.05354309,68.05354309,39.33317991,32.71,58.71,8.57,0,50.63,42.76,59.74877116,82.16,36.7025269,34.27561837,32.50883392,33.2155477,9.363957597,2.748921208,78.97784491,63.97849462,87.42671822,54.08646261,0,82.19218337
-118.3820038,33.9632988,401,6357.016,106607,0.163284154,2.59,6,67.40103531,67.40103531,29.68563531,24.47,61.85,13.68,46.34,1.45,32.76,47.2061657,9.48,66.86264699,0,8.229426434,91.77057357,0,3.068563209,80.2366566,42.54813703,87.04003992,88.18239192,0,58.44842786
-118.375,33.9662018,343,4821.339,89821,0.192685063,2.71,6,67.5511504,67.5511504,29.68563531,33.15,57.27,9.58,58.13,1.83,36.92,49.62325081,9.62,66.86264699,0,2.332361516,97.66763848,0,3.068563209,80.2366566,42.54813703,87.04003992,88.18239192,0,58.44842786
-118.3980026,33.9749985,300,10676.29,250001,0.089637867,3.19,6,67.30986404,67.30986404,15.66477387,32.39,57.26,10.34,77.43,0,6.58,47.12643678,0,17.22541906,6.333333333,0,93.66666667,4.333333333,2.093655106,79.24219537,42.54813703,69.11562929,76.03344904,0,23.18542463
-118.401001,33.9771004,423,2972.849,129145,0.325277183,2.29,6,67.30410767,67.30410767,15.66477387,12.31,56.16,31.54,74.77,0,9.31,53.67114788,15.6,17.22541906,0,29.55082742,70.44917258,4.255319149,2.093655106,79.24219537,42.54813703,69.11562929,76.03344904,0,23.18542463
-118.4000015,33.9669991,412,4666.593,159342,0.208931856,2.37,6,67.19409343,67.19409343,15.66477387,23.18,60.41,16.41,63.18,0,11.28,48.30769231,3.64,17.22541906,0,0,100,11.65048544,2.093655106,79.24219537,42.54813703,69.11562929,76.03344904,0,23.18542463
